startDate,value,unit,sourceName
2021-02-06 08:18:52 -0800,222.638,lb,Health Mate
2021-02-02 06:49:37 -0800,222.777,lb,Health Mate
2021-02-01 06:30:26 -0800,223.17,lb,Health Mate
2021-01-30 07:16:07 -0800,221.077,lb,Health Mate
2021-01-29 06:18:43 -0800,222.195,lb,Health Mate
2021-01-28 06:23:44 -0800,223.533,lb,Health Mate
2021-01-27 06:34:33 -0800,222.603,lb,Health Mate
2021-01-25 06:10:13 -0800,223.472,lb,Health Mate
2021-01-24 07:08:42 -0800,221.578,lb,Health Mate
2021-01-22 07:20:15 -0800,222.958,lb,Health Mate
2021-01-21 06:47:30 -0800,222.665,lb,Health Mate
2021-01-20 06:32:46 -0800,224.111,lb,Health Mate
2021-01-19 07:33:46 -0800,223.63,lb,Health Mate
2021-01-14 06:44:31 -0800,225.021,lb,Health Mate
2021-01-12 06:43:12 -0800,224.883,lb,Health Mate
2021-01-11 06:22:57 -0800,225.846,lb,Health Mate
2021-01-08 06:41:44 -0800,221.512,lb,Health Mate
2021-01-07 07:12:31 -0800,220.085,lb,Health Mate
2021-01-06 06:49:44 -0800,220.019,lb,Health Mate
2021-01-04 22:00:30 -0800,221.931,lb,Health Mate
2021-01-01 12:22:29 -0800,222.162,lb,Health Mate
2020-12-27 09:15:59 -0800,219.375,lb,Health Mate
2020-12-26 07:59:50 -0800,219.093,lb,Health Mate
2020-12-25 10:35:39 -0800,222.08,lb,Health Mate
2020-12-20 21:22:53 -0800,222.879,lb,Health Mate
2020-12-20 07:41:20 -0800,221.64,lb,Health Mate
2020-12-19 08:10:02 -0800,222.352,lb,Health Mate
2020-12-18 06:16:24 -0800,222.153,lb,Health Mate
2020-12-17 06:57:53 -0800,222.03,lb,Health Mate
2020-12-16 06:56:03 -0800,222.376,lb,Health Mate
2020-12-15 06:46:05 -0800,223.818,lb,Health Mate
2020-12-14 06:44:44 -0800,222.034,lb,Health Mate
2020-12-13 08:32:10 -0800,220.791,lb,Health Mate
2020-12-12 08:16:47 -0800,218.383,lb,Health Mate
2020-12-11 06:59:35 -0800,220.429,lb,Health Mate
2020-12-10 06:13:06 -0800,222.382,lb,Health Mate
2020-12-09 06:28:24 -0800,220.586,lb,Health Mate
2020-12-08 06:30:23 -0800,218.688,lb,Health Mate
2020-12-07 06:19:11 -0800,221.024,lb,Health Mate
2020-12-06 08:19:30 -0800,219.834,lb,Health Mate
2020-12-05 09:52:12 -0800,221.322,lb,Health Mate
2020-12-04 06:18:33 -0800,221.009,lb,Health Mate
2020-12-03 06:07:40 -0800,222.581,lb,Health Mate
2020-12-02 05:55:06 -0800,221.812,lb,Health Mate
2020-12-01 06:15:10 -0800,222.671,lb,Health Mate
2020-11-30 06:01:57 -0800,224.04,lb,Health Mate
2020-11-29 08:18:54 -0800,223.498,lb,Health Mate
2020-11-27 08:30:18 -0800,222.905,lb,Health Mate
2020-11-26 08:25:24 -0800,222.155,lb,Health Mate
2020-11-25 07:51:56 -0800,222.233,lb,Health Mate
2020-11-22 06:52:31 -0800,222.662,lb,Health Mate
2020-11-21 05:47:01 -0800,223.236,lb,Health Mate
2020-11-18 06:16:40 -0800,223.73,lb,Health Mate
2020-11-15 08:27:14 -0800,221.796,lb,Health Mate
2020-11-14 08:02:06 -0800,223.542,lb,Health Mate
2020-11-12 06:09:59 -0800,222.44,lb,Health Mate
2020-11-11 06:56:53 -0800,220.043,lb,Health Mate
2020-11-10 06:09:51 -0800,222.028,lb,Health Mate
2020-11-09 06:03:07 -0800,222.51,lb,Health Mate
2020-11-08 07:45:07 -0800,221.983,lb,Health Mate
2020-11-07 06:26:48 -0800,223.214,lb,Health Mate
2020-11-06 05:36:56 -0800,223.05,lb,Health Mate
2020-11-05 06:19:38 -0800,221.935,lb,Health Mate
2020-11-04 06:09:17 -0800,222.319,lb,Health Mate
2020-11-03 06:13:02 -0800,222.64,lb,Health Mate
2020-11-02 05:44:21 -0800,221.084,lb,Health Mate
2020-11-01 07:43:24 -0800,220.116,lb,Health Mate
2020-10-31 07:50:21 -0800,219.596,lb,Health Mate
2020-10-30 05:46:26 -0800,221.382,lb,Health Mate
2020-10-30 05:45:53 -0800,221.368,lb,Health Mate
2020-10-29 05:56:53 -0800,221.415,lb,Health Mate
2020-10-28 06:27:09 -0800,221.088,lb,Health Mate
2020-10-25 05:36:31 -0800,222.327,lb,Health Mate
2020-10-24 05:41:19 -0800,223.326,lb,Health Mate
2020-10-23 06:12:01 -0800,222.354,lb,Health Mate
2020-10-22 05:11:56 -0800,220.251,lb,Health Mate
2020-10-20 05:40:10 -0800,223.031,lb,Health Mate
2020-10-18 04:43:44 -0800,224.448,lb,Health Mate
2020-10-17 06:51:02 -0800,222.724,lb,Health Mate
2020-10-16 05:54:09 -0800,224.159,lb,Health Mate
2020-10-15 05:14:52 -0800,224.622,lb,Health Mate
2020-10-14 05:12:26 -0800,224.484,lb,Health Mate
2020-10-13 05:35:32 -0800,226.199,lb,Health Mate
2020-10-12 07:17:47 -0800,227.336,lb,Health Mate
2020-10-06 05:46:27 -0800,224.946,lb,Health Mate
2020-10-05 05:42:44 -0800,224.364,lb,Health Mate
2020-10-02 06:07:01 -0800,226.34,lb,Health Mate
2020-10-01 06:28:27 -0800,227.846,lb,Health Mate
2020-09-30 05:38:08 -0800,225.531,lb,Health Mate
2020-09-29 05:47:28 -0800,225.617,lb,Health Mate
2020-09-28 05:54:24 -0800,223.467,lb,Health Mate
2020-09-25 07:27:09 -0800,227.354,lb,Health Mate
2020-09-24 06:51:02 -0800,228.622,lb,Health Mate
2020-09-24 06:51:02 -0800,228.622,lb,Health Mate
2020-09-24 04:45:42 -0800,228.37,lb,Health Mate
2020-09-24 04:45:42 -0800,228.37,lb,Health Mate
2020-09-24 04:45:08 -0800,228.282,lb,Health Mate
2020-09-24 04:45:08 -0800,228.282,lb,Health Mate
2020-09-23 05:55:46 -0800,226.752,lb,Health Mate
2020-09-23 05:55:46 -0800,226.752,lb,Health Mate
2020-09-23 05:55:06 -0800,226.867,lb,Health Mate
2020-09-23 05:55:06 -0800,226.867,lb,Health Mate
2020-09-22 06:16:16 -0800,226.395,lb,Health Mate
2020-09-22 06:16:16 -0800,226.395,lb,Health Mate
2020-09-22 04:24:01 -0800,227.299,lb,Health Mate
2020-09-22 04:24:01 -0800,227.299,lb,Health Mate
2020-09-21 20:33:48 -0800,229.109,lb,Health Mate
2020-09-21 20:33:48 -0800,229.109,lb,Health Mate
2020-09-21 05:55:31 -0800,228.17,lb,Health Mate
2020-09-21 05:55:31 -0800,228.17,lb,Health Mate
2020-09-20 18:31:46 -0800,230.271,lb,Health Mate
2020-09-20 18:31:46 -0800,230.271,lb,Health Mate
2020-09-20 13:51:55 -0800,230.273,lb,Health Mate
2020-09-20 13:51:55 -0800,230.273,lb,Health Mate
2020-09-20 13:50:58 -0800,232.182,lb,Health Mate
2020-09-20 13:50:58 -0800,232.182,lb,Health Mate
2020-09-20 13:47:01 -0800,227.2,lb,Health Mate
2020-09-20 13:47:01 -0800,227.2,lb,Health Mate
2020-09-20 05:12:00 -0800,227.2,lb,Health
2020-09-19 05:36:00 -0800,228,lb,Health
2020-09-18 05:50:00 -0800,229,lb,Health
2020-09-17 05:54:00 -0800,229.6,lb,Health
2020-09-16 05:45:00 -0800,229,lb,Health
2020-09-15 06:30:00 -0800,229.6,lb,Health
2020-09-14 07:13:00 -0800,230.8,lb,Health
2020-09-13 08:26:00 -0800,231,lb,Health
2020-09-12 06:38:00 -0800,232.6,lb,Health
2020-09-11 05:51:00 -0800,230.8,lb,Health
2020-09-10 19:24:00 -0800,232,lb,Health
2020-09-10 06:10:00 -0800,232.4,lb,Health
2020-09-09 05:47:00 -0800,233.2,lb,Health
2020-09-07 07:28:00 -0800,233.8,lb,Health
2020-09-05 07:32:00 -0800,234.2,lb,Health
2020-09-04 06:27:00 -0800,233.6,lb,Health
2020-09-03 05:19:00 -0800,233.6,lb,Health
2020-09-02 06:13:00 -0800,235.2,lb,Health
2020-09-01 07:10:00 -0800,237,lb,Health
2020-08-30 05:08:00 -0800,237.4,lb,Health
2020-08-28 06:11:00 -0800,239.2,lb,Health
2020-08-27 06:51:00 -0800,239.6,lb,Health
2020-08-26 05:01:00 -0800,239.4,lb,Health
2020-08-25 06:28:00 -0800,241.6,lb,Health
2020-08-20 07:13:00 -0800,242.2,lb,Health
2020-08-14 06:16:00 -0800,243.8,lb,Health
2020-05-09 06:54:00 -0800,246,lb,Health
2020-04-29 05:19:00 -0800,248,lb,Health
2020-04-16 05:56:00 -0800,243.2,lb,Health
2020-04-12 07:19:00 -0800,245.6,lb,Health
2020-04-04 07:41:00 -0800,247,lb,Health
2020-03-26 05:42:00 -0800,247.6,lb,Health
2020-03-18 06:02:00 -0800,247.8,lb,Health
2020-01-25 06:46:00 -0800,251.6,lb,Health
2019-12-02 10:55:00 -0800,251.8,lb,Health
2019-11-13 06:39:00 -0800,252.2,lb,Health
2019-11-07 04:28:00 -0800,252.8,lb,Health
2019-11-02 12:41:00 -0800,255,lb,Health
2019-09-04 19:08:00 -0800,256.8,lb,Health
2019-09-04 19:07:00 -0800,256.8,lb,Health
2019-08-13 19:27:58 -0800,259,lb,Health
